contract_id,page_area,name,posx,posy
9,118,item 06,220,120
9,119,item 07,400,120
9,120,footer,10,10
9,121,item 08,0,700
9,122,item 09,30,660
9,123,item 10,30,630
9,124,item 11,30,580
9,125,item 12,30,540
9,126,item 13,30,520
9,127,item 14,30,500
9,128,item 15,30,480
9,129,item 16,280,480
9,130,item 17,10,460
9,131,item 18,30,420
9,132,item 19,10,370
9,133,item 20,30,350
9,134,item 21,30,330
9,135,item 22,30,310
9,136,item 23,30,290
9,137,item 24,30,280
9,138,item 25,30,260
9,139,item 26,30,250
9,140,item 27,30,210
9,141,item 28,160,210
9,142,item 29,160,170
9,143,item 30,160,140
9,144,item 31,160,110
9,145,footer,10,10
9,146,item 31,0,700
9,147,item 32,30,670
9,148,item 33,30,640
9,149,item 34,30,590
9,150,item 35,30,560
9,151,item 36,60,540
9,152,item 37,250,540
9,153,item 38,60,520
9,154,item 39,250,520
9,155,item 40,60,500
9,156,item 41,250,500
9,157,item 42,30,460
9,158,item 43,30,440
9,159,item 44,60,440
9,160,item 45,210,440
9,161,item 46,380,440
9,162,item 47,10,420
9,163,item 48,30,380
9,164,item 49,30,250
9,165,item 50,30,190
9,166,item 51,30,160
9,167,item 52,30,100
9,168,item 53,30,80
9,169,item 54,30,60
9,170,footer,0,10
9,171,item 55,30,680
9,172,item 56,10,620
9,173,item 57,30,120
9,174,footer,10,10
9,175,item 58,30,700
9,176,item 59,30,680
9,177,item 60,30,580
9,178,item 61,100,540
9,179,item 62,30,460
9,180,item 63,30,400
9,181,item 64,30,360
9,182,item 65,30,240
9,183,footer,10,10
8,0,title,0,700
8,1,point address,10,650
8,2,name,30,520
8,3,proc fee,100,440
8,4,Granting,30,420
8,5,para 01,30,390
8,6,Submission,40,134
8,7,para 02,20,40
8,8,Footer,10,0
8,9,Conf,30,700
8,10,para 01,0,660
8,11,info B,10,640
8,12,list label A,60,590
8,13,list A,80,574
8,14,list label B,40,420
8,15,list B,80,390
8,16,footer,10,10
8,17,comm form,440,730
8,18,form input,460,710
8,19,header C,20,680
8,20,Agent form B name,30,620
8,21,form agent B agent num,30,590
8,22,form agent C,30,540
8,23,footer,10,10
8,24,agent header,30,340
8,25,form D intro,30,700
8,26,lender header,30,210
8,27,form agent C agency,50,320
8,28,None,0,0
8,29,lender sign,60,180
8,30,form C Date A,280,260
8,31,form C Date B,280,100
8,32,agent Sig,50,260
8,33,lender Sig,60,100
8,34,footer,10,10
8,35,for D list B item,0,700
8,36,for D list B item,30,630
8,37,for list header,0,510
8,38,for D list B item,30,490
8,39,for D list B item,30,440
8,40,for D list B item,30,350
8,41,footer,0,0
8,42,for D list B item,30,700
8,43,for D list B item,60,640
8,44,lender name,100,640
8,45,address,30,600
8,46,city zip,300,600
8,47,lend email,30,560
8,48,lend phone,300,560
8,49,add,30,520
8,50,Agent label,60,480
8,51,agent name,100,480
8,52,agent address,30,440
8,53,agent city zip,300,440
8,54,agent  email,30,400
8,55,agent phone,300,400
8,56,Company to,60,360
8,57,Lending fax,200,360
8,58,Lend address,200,340
8,59,to lender form,100,240
8,60,from agent form,40,260
8,61,from agent form,40,180
8,62,from agent form,40,110
8,63,from agent form,40,70
8,64,from agent form,40,40
8,65,footer,0,0
8,66,page 07 part 01,40,690
8,67,page 07 part 02,40,644
8,68,page 07 part 03,40,600
8,69,page 07 part 04,40,550
8,70,page 07 part 05,20,500
8,71,Agent Title,10,460
8,72,agent name,100,450
8,73,agent address,100,420
8,74,agent zip,100,390
8,75,agent sig,100,360
8,76,lender title,10,320
8,77,lender name,100,310
8,78,lender address,100,280
8,79,lender zip,100,250
8,80,Auth sign,100,210
8,81,label,10,160
8,82,Rep Sig,100,160
8,83,sign title,100,120
8,84,sign date,100,80
8,85,All state address,120,60
8,86,Attn:,120,26
8,87,footer,0,0
8,88,header,0,700
8,89,agency name,150,640
8,90,agent,150,610
8,91,sub header,40,560
8,92,fee list,80,520
8,93,pay method,50,460
8,94,pay options,80,430
8,95,if check note,20,390
8,96,greeting,30,340
8,97,intro,30,280
8,98,name,30,220
8,99,agt sig,30,190
8,100,agt sign,30,160
8,101,From lender,30,140
8,102,Rep name,30,100
8,103,Rep sig,30,70
8,104,sig date,30,40
8,105,footer,0,0
8,106,terminate,0,700
8,107,graph,30,670
8,108,contact info,30,100
8,109,footer,10,10
8,110,item 58,30,700
8,111,item 59,30,650
8,112,item 60,30,560
8,113,item 61,60,520
8,114,item 62,30,450
8,115,item 63,40,420
8,116,item 64,30,400
8,117,item 65,30,160
8,118,footer,10,10
